Desa,Target,OPEN,'%OPEN,SUBMITTED BY PPL,'%SUBMITTED BY PPL,COMPLETED BY PML,'%COMPLETED BY PML,REJECTED BY PML,'%REJECTED BY PML
[9705030007] TIKAPURA,205,205,1.0,0,0.0,0,0.0,0,0.0
[9706040004] YABEMA,203,0,0.0,0,0.0,203,1.0,0,0.0
[9706040001] ELELIM,192,0,0.0,0,0.0,192,1.0,0,0.0
[9705030013] KAMBO,181,181,1.0,0,0.0,0,0.0,0,0.0
[9706040039] HOBAKMA,150,0,0.0,0,0.0,150,1.0,0,0.0
[9705030008] TIMERIA,148,28,0.1891891891891892,120,0.8108108108108109,0,0.0,0,0.0
[9706040013] OHOAM,108,0,0.0,0,0.0,108,1.0,0,0.0
[9705030010] MABUNA,107,107,1.0,0,0.0,0,0.0,0,0.0
[9702160009] ARABODA,106,0,0.0,0,0.0,106,1.0,0,0.0
[9706040021] WEREKMA,105,0,0.0,0,0.0,105,1.0,0,0.0
[9706040008] MARIBU,105,0,0.0,0,0.0,105,1.0,0,0.0
[9705010005] KOBAKMA,102,0,0.0,102,1.0,0,0.0,0,0.0
[9705030003] TARI,99,0,0.0,99,1.0,0,0.0,0,0.0
[9702010003] WAMENA KOTA,92,0,0.0,0,0.0,92,1.0,0,0.0
[9706040015] BULMU,91,0,0.0,0,0.0,91,1.0,0,0.0
[9706020003] APALAPSILI,89,0,0.0,89,1.0,0,0.0,0,0.0
[9702140003] IYORA,87,0,0.0,0,0.0,87,1.0,0,0.0
[9705030009] ONGGOBALO/GWIPU,85,85,1.0,0,0.0,0,0.0,0,0.0
[9705040007] ARSBOL,82,82,1.0,0,0.0,0,0.0,0,0.0
[9706020032] NATOKSILI,75,0,0.0,75,1.0,0,0.0,0,0.0
[9706030001] UWAMBO,75,75,1.0,0,0.0,0,0.0,0,0.0
[9705030018] KUMBU,74,74,1.0,0,0.0,0,0.0,0,0.0
[9702360003] KORAGI,71,0,0.0,0,0.0,71,1.0,0,0.0
[9705040001] MOGONIK,67,67,1.0,0,0.0,0,0.0,0,0.0
[9706040025] SOWI,66,0,0.0,0,0.0,66,1.0,0,0.0
[9702380005] SEKAN,64,0,0.0,0,0.0,64,1.0,0,0.0
[9702260004] MUSIEM,60,0,0.0,0,0.0,60,1.0,0,0.0
[9705040008] WANILOK/YELAM,60,52,0.8666666666666667,8,0.13333333333333333,0,0.0,0,0.0
[9705010015] DOKLE,58,58,1.0,0,0.0,0,0.0,0,0.0
[9706020051] YEPTEK,57,0,0.0,0,0.0,57,1.0,0,0.0
[9706020020] NANUKHORUK,54,0,0.0,54,1.0,0,0.0,0,0.0
[9706030053] JINGGIWI,52,0,0.0,0,0.0,52,1.0,0,0.0
[9702200010] SEKOM,50,0,0.0,0,0.0,50,1.0,0,0.0
[9706030047] HURUALMA,45,0,0.0,0,0.0,45,1.0,0,0.0
[9702010006] SINAKMA,43,0,0.0,0,0.0,43,1.0,0,0.0
[9702160005] MILIGATNEM,42,0,0.0,0,0.0,42,1.0,0,0.0
[9702370002] WESAGANYA,40,0,0.0,40,1.0,0,0.0,0,0.0
[9706030050] KEWI,39,0,0.0,0,0.0,39,1.0,0,0.0
[9702130004] YAGAROBAK,35,35,1.0,0,0.0,0,0.0,0,0.0
[9702370008] ILOKAMA,35,0,0.0,35,1.0,0,0.0,0,0.0
[9706030035] SUMUNAIKMA,33,33,1.0,0,0.0,0,0.0,0,0.0
[9702210002] YANENGGAME,31,0,0.0,0,0.0,31,1.0,0,0.0
[9705020001] MELENGGAMA,26,0,0.0,26,1.0,0,0.0,0,0.0
[9702030004] WAMUSAGE,25,0,0.0,0,0.0,25,1.0,0,0.0
[9705040004] MOLOGI,25,25,1.0,0,0.0,0,0.0,0,0.0
[9702240004] ALOLIK,24,0,0.0,0,0.0,24,1.0,0,0.0
[9705010014] MOGA,22,22,1.0,0,0.0,0,0.0,0,0.0
[9702240005] WILIGIMA,22,0,0.0,0,0.0,22,1.0,0,0.0
[9702190008] BALIMA,20,0,0.0,0,0.0,20,1.0,0,0.0
[9702010004] AUTAKMA,18,0,0.0,0,0.0,18,1.0,0,0.0
[9702370004] SILUMAREK,13,0,0.0,13,1.0,0,0.0,0,0.0
[9702150005] HOM-HOM,10,10,1.0,0,0.0,0,0.0,0,0.0
[9702170004] ANEGERA,4,4,1.0,0,0.0,0,0.0,0,0.0
[9706030010] SEBI,1,1,1.0,0,0.0,0,0.0,0,0.0
[9705040015] WURIGELEBUR,1,1,1.0,0,0.0,0,0.0,0,0.0
