Desa,Target,OPEN,'%OPEN,SUBMITTED BY PPL,'%SUBMITTED BY PPL,APPROVED BY PML,'%APPROVED BY PML,REJECTED BY PML,'%REJECTED BY PML,COMPLETED BY Admin Kabupaten,'%COMPLETED BY Admin Kabupaten
[9705030007] TIKAPURA,20,0,0.0,20,1.0,0,0.0,0,0.0,0,0.0
[9705030008] TIMERIA,10,0,0.0,10,1.0,0,0.0,0,0.0,0,0.0
[9705030010] MABUNA,10,0,0.0,10,1.0,0,0.0,0,0.0,0,0.0
[9705030013] KAMBO,10,0,0.0,10,1.0,0,0.0,0,0.0,0,0.0
[9705040004] MOLOGI,10,0,0.0,0,0.0,10,1.0,0,0.0,0,0.0
[9706020003] APALAPSILI,10,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0
[9706020020] NANUKHORUK,10,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0
[9706020032] NATOKSILI,10,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0
[9706020051] YEPTEK,10,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0
[9706030047] HURUALMA,10,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0
[9706030050] KEWI,10,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0
[9706030053] JINGGIWI,10,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0
[9706040001] ELELIM,10,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0
[9706040004] YABEMA,10,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0
[9706040008] MARIBU,10,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0
[9706040013] OHOAM,10,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0
[9706040015] BULMU,10,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0
[9706040021] WEREKMA,10,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0
[9706040025] SOWI,10,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0
[9706040039] HOBAKMA,10,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0
[9702010003] WAMENA KOTA,10,0,0.0,0,0.0,10,1.0,0,0.0,0,0.0
[9702010004] AUTAKMA,10,0,0.0,0,0.0,10,1.0,0,0.0,0,0.0
[9702010006] SINAKMA,10,1,0.1,0,0.0,9,0.9,0,0.0,0,0.0
[9702030004] WAMUSAGE,10,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0
[9702130004] YAGAROBAK,10,0,0.0,0,0.0,10,1.0,0,0.0,0,0.0
[9702140003] IYORA,10,0,0.0,10,1.0,0,0.0,0,0.0,0,0.0
[9702150005] HOM-HOM,10,0,0.0,0,0.0,10,1.0,0,0.0,0,0.0
[9702160005] MILIGATNEM,10,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0
[9702160009] ARABODA,10,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0
[9702170004] ANEGERA,10,0,0.0,0,0.0,10,1.0,0,0.0,0,0.0
[9702190008] BALIMA,10,0,0.0,10,1.0,0,0.0,0,0.0,0,0.0
[9702200010] SEKOM,10,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0
[9702210002] YANENGGAME,10,0,0.0,10,1.0,0,0.0,0,0.0,0,0.0
[9702240004] ALOLIK,10,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0
[9702240005] WILIGIMA,10,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0
[9702260004] MUSIEM,10,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0
[9702360003] KORAGI,10,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0
[9702370002] WESAGANYA,10,0,0.0,0,0.0,10,1.0,0,0.0,0,0.0
[9702370004] SILUMAREK,10,0,0.0,0,0.0,10,1.0,0,0.0,0,0.0
[9702370008] ILOKAMA,10,0,0.0,0,0.0,10,1.0,0,0.0,0,0.0
[9702380005] SEKAN,10,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0
[9705010005] KOBAKMA,10,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0
[9705020001] MELENGGAMA,10,0,0.0,0,0.0,0,0.0,0,0.0,10,1.0
[9705030003] TARI,10,0,0.0,10,1.0,0,0.0,0,0.0,0,0.0
[9705040007] ARSBOL,3,0,0.0,3,1.0,0,0.0,0,0.0,0,0.0
[9706030001] UWAMBO,2,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0
